absolute_return,asset,assigned_weth_amount,assignment_frequency,assignment_settlement,assignments,candidate_id,cash_settlement_used,cash_usdc,collateral_assigned_usdc,costs,covered_calls_used,deallocation_used,decisions,eligible_decisions,ending_weth,ending_weth_nav_fraction,entry_filter,estimated_costs_usdc,final_nav_reconciliation_error_usdc,final_nav_usdc,initial_usdc,maximum_drawdown,median_iv_minus_realized_volatility,median_trend_return,minimum_net_premium_bps,missing_market_events,missing_market_fraction,open_rate,peak_weth_nav_fraction,positions_opened,positions_settled,premium_modeled_usdc,premium_net_usdc,premium_observed_usdc,pricing_observation_class,skipped_entry_filter,skipped_insufficient_collateral,skipped_minimum_premium,skipped_weth_inventory,strategy,target_delta,utilization,window_days,window_end,window_start
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,1,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.20370965171868305,-0.181157839995974,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,14,0,1,0,standalone_physical_csp,0.05,0.5,30,2024-09-08T08:00:00+00:00,2024-08-09T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,4,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.054668089998113456,-0.03182914742019338,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,11,0,4,0,standalone_physical_csp,0.05,0.5,30,2024-10-08T08:00:00+00:00,2024-09-08T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,12,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.12473086190494587,0.018950409244101962,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,3,0,12,0,standalone_physical_csp,0.05,0.5,30,2024-11-07T08:00:00+00:00,2024-10-08T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.02091988061314498,0.28556534538095146,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.5,30,2024-12-07T08:00:00+00:00,2024-11-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,9,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.0031053162015327596,0.11881943451103805,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,6,0,9,0,standalone_physical_csp,0.05,0.5,30,2025-01-06T08:00:00+00:00,2024-12-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.007718598033798152,-0.0842028694692486,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2025-02-05T08:00:00+00:00,2025-01-06T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.24654086120589125,-0.1927493363670838,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2025-03-07T08:00:00+00:00,2025-02-05T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.2082472569866456,-0.2677712453233565,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2025-04-06T08:00:00+00:00,2025-03-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,2,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.1457485325510185,-0.15680000000000005,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,13,0,2,0,standalone_physical_csp,0.05,0.5,30,2025-05-06T08:00:00+00:00,2025-04-06T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.019277484601731065,0.4670622461618228,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.5,30,2025-06-05T08:00:00+00:00,2025-05-06T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,15,5,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.01513527093405731,-0.016510468594217342,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,10,0,5,0,standalone_physical_csp,0.05,0.5,30,2025-07-05T08:00:00+00:00,2025-06-05T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,13,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.026834978267058995,-0.03232699410848927,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,32,0,13,0,standalone_physical_csp,0.05,0.5,90,2023-11-13T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,39,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.04829153119321822,0.11550704865848105,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,6,0,39,0,standalone_physical_csp,0.05,0.5,90,2024-02-11T08:00:00+00:00,2023-11-13T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,25,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.024534558750084146,0.03881935875590026,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,20,0,25,0,standalone_physical_csp,0.05,0.5,90,2024-05-11T08:00:00+00:00,2024-02-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,17,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.06956809243301854,-0.02673766972425895,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,28,0,17,0,standalone_physical_csp,0.05,0.5,90,2024-08-09T08:00:00+00:00,2024-05-11T08:00:00+00:00
