aggregate_utilization,assignment_frequency_per_settled_put,assignments,assignments_per_30_days,average_eth_inventory,causal_observations_only,complete_wheel_cycles,cost_scenario,covered_calls_called,covered_calls_opened,daily_return_cvar_5_after_parent_fees,ending_eth,eth_inventory_time_fraction,execution_cost_usdc,final_nav_usdc,idle_capital_fraction_mean,issue,iv_spike,management_fee_usdc,market_regime,maximum_drawdown_after_parent_fees,median_opened_absolute_put_delta,minimum_net_premium_bps,missing_market_events,modeled_gross_premium_usdc,modeled_net_premium_usdc,modeled_net_premium_yield,observed_executable_premium_events,observed_executable_premium_usdc,operational_actions,operational_actions_per_30_days,operational_decisions,peak_eth,performance_fee_usdc,period_return,policy_id,premium_observation_class,protocol_premium_fee_usdc,put_lane_count,put_target_delta,put_tenor_hours,puts_opened,puts_settled,redemption_liquidity_definition,redemption_liquidity_fraction_mean,redemption_liquidity_fraction_minimum,redemption_liquidity_fraction_p5,risk_metric_fee_basis,schema_version,skipped_liquidity,skipped_premium_floor,split,strike_tick_usd,turnover_usdc,underlying_maximum_drawdown,underlying_period_return,volatility_crash,window_days,window_end,window_start
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-0.00011888245128410801,0,0.0,0.0,100919.85695118454,0.6417204221005092,B1N-450,0.1733,166.3370965078385,bull,-0.0025005709827451428,0.09579073190582799,20,0,1320.4448617797016,1188.4003756017314,0.011884003756017314,0,0.0,54,54.0,60,0.0,102.20632790939271,0.0091985695118455,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,132.0444861779702,4,0.09,48,27,27,unencumbered_usdc_divided_by_marked_nav_proxy,0.6417204221005092,0.20120312543698962,0.20129734585458448,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,29,development,25.0,543116.4054743091,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.3,0.0,0,0.0,0.0,True,0,base,0,0,-0.00019305347847886623,0,0.0,0.0,100232.18121973929,0.75646445775234,B1N-450,0.1733,165.07899967021459,bull,-0.0004386249429384481,0.08962970879411747,20,0,470.0645919042869,423.05813271385824,0.0042305813271385825,0,0.0,28,28.0,18,0.0,25.797913304365647,0.002321812197392914,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,47.00645919042869,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.75646445775234,0.7005398971866467,0.7006742351018329,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,105199.72112396838,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.6,0.0,0,0.0,0.0,True,0,base,0,0,-0.00033413514817642875,0,0.0,0.0,100613.79901570213,0.5122592343025236,B1N-450,0.1733,165.77716614654616,bull,-0.000810604159816597,0.08962970879411747,20,0,941.9734138691641,847.7760724822476,0.008477760724822475,0,0.0,28,28.0,18,0.0,68.19989063356915,0.0061379901570213224,weekly_4_high_60pct,modeled_binary_bid_on_observed_spot_and_dvol,94.1973413869164,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.5122592343025236,0.4010671758731553,0.40116970912066047,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,210799.84395591053,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.42857142857142855,6,6.0,26.813377917969778,True,0,base,0,0,-0.0278541545919625,33.43708464183549,0.8680555555555556,0.0,119628.9236204348,0.04336867037372835,B1N-450,0.1733,200.56517310727185,bull,-0.07251489382469456,0.4488837480067738,20,0,4314.48053349735,3883.0324801476154,0.038830324801476156,0,0.0,28,28.0,15,33.43708464183549,2180.9915133816435,0.19628923620434802,atm_48h_control,modeled_binary_bid_on_observed_spot_and_dvol,431.448053349735,1,0.5,48,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.04336867037372835,7.936750052029276e-05,8.08909104342168e-05,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,257989.04953564567,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-0.0002918834405878368,0,0.0,0.0,100799.54657287127,0.6818881926683419,B1N-450,0.1733,166.1169897052164,bull,-0.0028752281596434726,0.09473579290615503,20,0,1171.6689674147872,1054.5020706733085,0.010545020706733084,0,0.0,12,12.0,15,0.0,88.8385080968088,0.00799546572871268,hybrid_current_csp_weekly_cc,modeled_binary_bid_on_observed_spot_and_dvol,117.16689674147874,1,0.09,48,6,6,unencumbered_usdc_divided_by_marked_nav_proxy,0.6818881926683419,0.20154360028759644,0.201564608326618,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,8,development,25.0,482126.92517470685,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.00030984661505306654,0,0.0,0.0,100789.7866327166,0.681879510400521,B1N-450,0.1733,166.0991339786253,bull,-0.0029065777929679903,0.09473579290615503,20,0,1159.5998188856163,1043.6398369970545,0.010436398369970545,0,0.0,12,12.0,15,0.0,87.75407030184434,0.007897866327166048,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,115.95998188856163,1,0.09,48,6,6,unencumbered_usdc_divided_by_marked_nav_proxy,0.681879510400521,0.20152840295472546,0.20154981985448497,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,8,development,25.0,482105.0602582718,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.00012544808110981354,0,0.0,0.0,100872.79877174375,0.6550253702884548,B1N-450,0.1733,166.25100397318653,bull,-0.0025160821253624732,0.09601583731468943,20,0,1262.2526855797694,1136.0274170217924,0.011360274170217925,0,0.0,52,52.0,60,0.0,96.97764130486175,0.008727987717437546,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,126.22526855797692,4,0.09,48,26,26,unencumbered_usdc_divided_by_marked_nav_proxy,0.6550253702884548,0.20119287144408518,0.20128780347506,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,30,development,25.0,522862.61935609195,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.3,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.00019521014814938287,0,0.0,0.0,100228.29485643208,0.756461328996892,B1N-450,0.1733,165.07188960196137,bull,-0.00044270612300723045,0.08962970879411747,20,0,465.2587124368614,418.73284119317515,0.0041873284119317514,0,0.0,28,28.0,18,0.0,25.36609515911987,0.0022829485643207637,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,46.525871243686126,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.756461328996892,0.7005372207134437,0.7006709465612114,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,105197.68073272116,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.6,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.00033844937447391477,0,0.0,0.0,100605.99595437144,0.5122503030809405,B1N-450,0.1733,165.76289051293713,bull,-0.000812419087727001,0.08962970879411747,20,0,932.3241430037962,839.0917287034167,0.008390917287034167,0,0.0,28,28.0,18,0.0,67.33288381904859,0.0060599595437142995,weekly_4_high_60pct,modeled_binary_bid_on_observed_spot_and_dvol,93.23241430037963,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.5122503030809405,0.40105819560392053,0.4011598602342512,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,210791.66288610428,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.42857142857142855,6,6.0,26.806722673685535,True,0,stressed,0,0,-0.027857580906328172,33.42555374190121,0.8680555555555556,0.0,119591.07748121818,0.043335512119007824,B1N-450,0.1733,200.49593392099922,bull,-0.07251555227466233,0.4488837480067738,20,0,4268.218140236795,3841.3963262131156,0.03841396326213115,0,0.0,28,28.0,15,33.42555374190121,2176.78638680202,0.19591077481218178,atm_48h_control,modeled_binary_bid_on_observed_spot_and_dvol,426.82181402367956,1,0.5,48,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.043335512119007824,7.903607992982657e-05,8.055308822003397e-05,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,257876.1074786169,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.00030984661505306654,0,0.0,0.0,100789.7866327166,0.681879510400521,B1N-450,0.1733,166.0991339786253,bull,-0.0029065777929679903,0.09473579290615503,20,0,1159.5998188856163,1043.6398369970545,0.010436398369970545,0,0.0,12,12.0,15,0.0,87.75407030184434,0.007897866327166048,hybrid_current_csp_weekly_cc,modeled_binary_bid_on_observed_spot_and_dvol,115.95998188856163,1,0.09,48,6,6,unencumbered_usdc_divided_by_marked_nav_proxy,0.681879510400521,0.20152840295472546,0.20154981985448497,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,8,development,25.0,482105.0602582718,-0.07912370808778058,0.24930235743267537,False,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-0.0002761783307794752,0,0.0,0.0,100155.41052303529,0.8946393491494823,B1N-450,0.08109999999999984,164.93854834071584,bear,-0.0014549594403215904,0.09963846022501388,20,0,375.1298969653559,337.61690726882034,0.0033761690726882036,0,0.0,4,4.0,15,0.0,17.26783589280967,0.0015541052303529312,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,37.51298969653559,1,0.09,48,2,2,unencumbered_usdc_divided_by_marked_nav_proxy,0.8946393491494823,0.2014452783021659,0.20148790321844443,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,12,development,25.0,160137.53183023803,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-0.0004605410868396276,0,0.0,0.0,100419.26727006237,0.8014680061158245,B1N-450,0.08109999999999984,165.4212719906008,bear,-0.002656452529579467,0.09849309403202156,20,0,701.415326980148,631.2737942821333,0.006312737942821333,0,0.0,30,30.0,60,0.0,46.585252229151955,0.004192672700623623,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,70.14153269801479,4,0.09,48,15,15,unencumbered_usdc_divided_by_marked_nav_proxy,0.8014680061158245,0.20103120141558808,0.4009302303144595,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,41,development,25.0,300876.5617518282,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.3,0.21428571428571427,3,3.0,0.49560628090514974,True,0,base,0,0,-0.009196301819691777,7.28354590311105,0.12638888888888888,0.0,100199.54450761332,0.7423300108105855,B1N-450,0.08109999999999984,165.01929108601044,bear,-0.01806653266930347,0.08911192464305717,20,0,437.79927768465063,394.0193499161856,0.003940193499161856,0,0.0,28,28.0,18,7.28354590311105,22.171611957035203,0.001995445076133251,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,43.77992776846507,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.7423300108105855,0.7005994914455671,0.70073082922264,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,105191.57878849765,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.6,0.21428571428571427,3,3.0,0.9944037812275407,True,0,base,0,0,-0.018410652226581392,14.616334123671756,0.12638888888888888,0.0,100548.2840066989,0.48325742478828887,B1N-450,0.08109999999999984,165.65730700091274,bear,-0.035800406584753586,0.08911192464305717,20,0,877.1996139997079,789.4796525997373,0.007894796525997373,0,0.0,28,28.0,18,14.616334123671756,60.920445188766465,0.00548284006698907,weekly_4_high_60pct,modeled_binary_bid_on_observed_spot_and_dvol,87.71996139997081,4,0.09,168,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.48325742478828887,0.4011382427163643,0.4013107291696577,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,210767.1797703692,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.8,0.6428571428571429,9,9.0,25.695958617170067,True,0,base,0,0,-0.07219984962857934,28.15761662943475,0.9347222222222222,0.0,87084.89875458705,0.018802996944212922,B1N-450,0.08109999999999984,164.3835616438356,bear,-0.21311264479015768,0.4652062777554559,20,0,1667.2253445902732,1500.5028101312464,0.015005028101312464,0,0.0,28,28.0,15,28.15761662943475,0.0,-0.12915101245412952,atm_48h_control,modeled_binary_bid_on_observed_spot_and_dvol,166.72253445902737,1,0.5,48,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.018802996944212922,1.0426691103866953e-06,1.0651205251851714e-06,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,105942.0689088088,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-0.0002761783307794752,0,0.0,0.0,100155.41052303529,0.8946393491494823,B1N-450,0.08109999999999984,164.93854834071584,bear,-0.0014549594403215904,0.09963846022501388,20,0,375.1298969653559,337.61690726882034,0.0033761690726882036,0,0.0,4,4.0,15,0.0,17.26783589280967,0.0015541052303529312,hybrid_current_csp_weekly_cc,modeled_binary_bid_on_observed_spot_and_dvol,37.51298969653559,1,0.09,48,2,2,unencumbered_usdc_divided_by_marked_nav_proxy,0.8946393491494823,0.2014452783021659,0.20148790321844443,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,12,development,25.0,160137.53183023803,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-0.0002929915279673567,0,0.0,0.0,100152.29658840055,0.894635059401827,B1N-450,0.08109999999999984,164.93285142407714,bear,-0.0014906106932921492,0.09963846022501388,20,0,371.2792033113858,334.1512829802472,0.0033415128298024716,0,0.0,4,4.0,15,0.0,16.921843155617534,0.0015229658840054672,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,37.127920331138576,1,0.09,48,2,2,unencumbered_usdc_divided_by_marked_nav_proxy,0.894635059401827,0.2014308844460301,0.20147366969936925,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,12,development,25.0,160136.1212473638,-0.23045028497339348,-0.15075438860948576,False,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
